iteration,observerX1AngularPosition,observerX2AngularVelocity,realAngularPosition,motorAngularSpeed
285,-11.389654163793393,3.4559217969069196,-11.6,0.0
286,-11.390119862482882,3.384080784893463,-11.6,0.0
287,-11.390815394465402,3.31730790085743,-11.6,0.0
288,-11.391784520446526,3.24890980502271,-11.6,0.0
289,-11.392883451771773,3.188307658023971,-11.6,0.0
290,-11.394246748400956,3.12560681431235,-11.6,0.0
291,-11.395671263592464,3.069973885347389,-11.6,0.0
292,-11.397245643200108,3.015941779808809,-11.6,0.0
293,-11.399746397791057,2.9394340913831822,-11.6,0.0
294,-11.403977198225327,2.828164948879168,-11.6,0.0
295,-11.406528968371788,2.7734246454023435,-11.6,0.0
296,-11.408592485828512,2.7329762280189973,-11.6,0.0
297,-11.410686137855699,2.6944993459132016,-11.6,0.0
298,-11.412748533764521,2.6588229577704237,-11.6,0.0
299,-11.414820381228044,2.624925689738304,-11.6,0.0
300,-11.416873814881262,2.5930622684973517,-11.6,0.0
301,-11.418950973903895,2.562404389550339,-11.6,0.0
302,-11.422751541594632,2.5089793162842096,-11.6,0.0
303,-11.425673386214722,2.4714125864761023,-11.6,0.0
304,-11.429998852544648,2.419293709691807,-11.6,0.0
305,-11.432829562143342,2.3883766119702,-11.6,0.0
306,-11.434585050587843,2.3703737719998927,-11.6,0.0
307,-11.436360075643677,2.3528717491963382,-11.6,0.0
308,-11.43807237114567,2.3366662977158716,-11.6,0.0
309,-11.439689973098464,2.32197305472659,-11.6,0.0
310,-11.441343936087755,2.307546694681577,-11.6,0.0
311,-11.443898663115402,2.286219131645093,-11.6,0.0
312,-11.446392248545362,2.2669035678020477,-11.6,0.0
313,-11.449828539902784,2.2424057848779273,-11.6,0.0
314,-11.451189190488117,2.23398846941948,-11.6,0.0
315,-11.452343147088213,2.2273154187711492,-11.6,0.0
316,-11.453431133789726,2.221423396965945,-11.6,0.0
317,-11.454527716356335,2.2158937830083283,-11.6,0.0
318,-11.455626685785681,2.21080106896508,-11.6,0.0
319,-11.45654492451614,2.2069593437166817,-11.6,0.0
320,-11.45781408868585,2.202176527977583,-11.6,0.0
321,-11.459207313762375,2.1978315658461587,-11.6,0.0
322,-11.46082090803081,2.1941698932266154,-11.6,0.0
323,-11.461386478805357,2.1935932003371077,-11.6,0.0
324,-11.461990195731683,2.193306641312623,-11.6,0.0
325,-11.462629395229635,2.1934290889719557,-11.6,0.0
326,-11.46316735660339,2.193978237604739,-11.6,0.0
327,-11.46367422781041,2.1949177927655543,-11.6,0.0
328,-11.464177755945993,2.1963234356105286,-11.6,0.0
